Title,Title_URL,Image,counterowl,bags,Date,Price,displayflex,Info,Info1,limitline
"
						Nhà hẻm 77 Nguyễn Đỗ Cung, 3.5 x 12m, 3.8 Tỷ, Tây Thạnh, Tân Phú
					",https://nhadatvui.vn/ban-nha-rieng-phuong-tay-thanh-quan-tan-phu/nha-hem-77-nguyen-do-cung-3-5-x-12m-3-8-ty-tay-thanh-tan-phu1655457285,https://file.maumau.vn/public/nhadatvui/uploads/images/3264e9a7e260cd97d9660816bf2f3ee7.jpg,4,Bán,17/6/2022,3.8 tỷ,42 m² ,,,"
							Nguyễn Đỗ Cung, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh
						"
"
						Mặt tiền kinh doanh đường số 6, Linh Trung gần ĐH Ngân hàng khu sầm uất, nhộn nhịp sẵn thu nhập
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/mat-tien-kinh-doanh-ds-6-linh-trung-gan-dh-ngan-hang-khu-sam-uat-nhon-nhip-san-thu-nhap1655456909,https://file.maumau.vn/public/nhadatvui/uploads/images/6adafea97092f76db4fa0403c0a33cbf.jpg,5,Bán,17/6/2022,11 tỷ,95.60 m² ,T.Bắc,,"
							Đường số 6, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Mặt tiền đường 8 Linh Trung gần NH Nai Vàng-khu nhộn nhịp KD vạn nghề DT đẹp giá tốt
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/hang-hiem-mat-tien-duong-8-linh-trung-gan-nh-nai-vang-khu-nhon-nhip-kd-van-nghe-dt-dep-gia-tot1655456363,https://file.maumau.vn/public/nhadatvui/uploads/images/1641d1fdb8952c4715c3477e4ea25ff6.jpg,9,Bán,17/6/2022,11 tỷ,113.50 m² ,2,1,"
							Đường số 8, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Tuyệt phẩm dự án nhà phố Bcons Plaza giá chỉ từ 70 - 75tr/m2 đất
					",https://nhadatvui.vn/ban-nha-rieng-phuong-dong-hoa-tp-di-an/tuyet-pham-du-an-nha-pho-bcons-plaza-gia-chi-tu-70-75tr-m2-dat1655456213,https://file.maumau.vn/public/nhadatvui/uploads/images/8e05b9e9317bcdbb67b37705ca22e7bd.jpg,4,Bán,17/6/2022,4.62 tỷ,65 m² ,4,4,"
							Đường Thống Nhất, Phường Đông Hòa, Tp. Dĩ An, Bình Dương
						"
"
						Nhà bán quận 4, giá rẻ, đầu tư sinh lời
					",https://nhadatvui.vn/ban-nha-rieng-phuong-16-quan-4/nha-ban-quan-4-gia-re-dau-tu-sinh-loi1655455952,https://file.maumau.vn/public/nhadatvui/uploads/images/86f9bc19636be709ca41c541525676c9.jpg,3,Bán,17/6/2022,2.6 tỷ,25 m² ,2,2,"
							714 Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh
						"
"
						Nhà trọ 227m ngang 11 đường 5m thông ngay công viên đường 9 Linh Trung gần Hoàng Diệu thu nhập 40tr
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/nha-tro-227m-ngang-11-duong-5m-thong-ngay-cong-vien-duong-9-linh-trung-gan-hoang-dieu-thu-nhap-40tr1655455521,https://file.maumau.vn/public/nhadatvui/uploads/images/1d8cd295c6b075b6c109705d2247287a.jpg,8,Bán,17/6/2022,16.5 tỷ,227 m² ,T.Nam,,"
							Đường số 9, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Mặt tiền ĐS 7 Linh Trung sát Hoàng Diệu 2 khu kinh doanh sầm uất nhộn nhịp ngang 5 vuông vức giá 10 tỷ nhỉn
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/mat-tien-ds-7-linh-trung-sat-hoang-dieu-2-khu-kinh-doanh-sam-uat-nhon-nhip-ngang-5-vuong-vuc-gia-10-ty-nhin1655455182,https://file.maumau.vn/public/nhadatvui/uploads/images/802746d38679590728b06a05b91f79e4.jpg,4,Bán,17/6/2022,10.8 tỷ,96.40 m² ,2,2,"
							Đường số 7, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Mặt tiền đường 5m Linh Trung gần Hoàng Diệu 2 (6.5x31) chuẩn đẹp sẵn thu nhập 20tr/tháng giá chỉ 58tr/m2
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/mat-tien-duong-5m-linh-trung-gan-hoang-dieu-2-6-5x31-chuan-dep-san-thu-nhap-20tr-thang-gia-chi-58tr-m21655454920,https://file.maumau.vn/public/nhadatvui/uploads/images/df0214fa2be84992c2b3b8eb410d3017.jpg,4,Bán,17/6/2022,12 tỷ,205 m² ,T.Bắc,,"
							Đường số 5, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Hàng đầu tư chỉ 54tr/m2 bán nhà nát DT chuẩn 5x22 đường thông 5m gần Phạm Văn Đồng
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/hang-dau-tu-chi-54tr-m2-ban-nha-nat-dt-chuan-5x22-duong-thong-5m-gan-pham-van-dong1655454739,https://file.maumau.vn/public/nhadatvui/uploads/images/e3c7e9a6a74d346966fe1f097971ce6d.jpg,3,Bán,17/6/2022,6.05 tỷ,110 m² ,Đ.Nam,,"
							Đường số 1, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
"
						Nhà nát Linh Trung chưa qua đầu tư gần Hoàng Diệu 2 đường 5m thông DT ngang 5 chuẩn đẹp giá 75tr/m2
					",https://nhadatvui.vn/ban-nha-rieng-phuong-linh-trung-tp-thu-duc/nha-nat-linh-trung-chua-qua-dau-tu-gan-hoang-dieu-2-duong-5m-thong-dt-ngang-5-chuan-dep-gia-75tr-m21655454529,https://file.maumau.vn/public/nhadatvui/uploads/images/c98fc00207c9e19ed31efd7af8558470.jpg,5,Bán,17/6/2022,9.5 tỷ,126 m² ,,,"
							Đường số 7, Phường Linh Trung, Tp. Thủ Đức, Hồ Chí Minh
						"
